"date","true_rt","later_0_day","later_1_day","later_2_day","later_3_day","later_4_day","later_5_day","later_6_day","later_7_day","later_8_day","later_9_day","later_10_day","later_11_day","later_12_day","later_13_day","later_14_day"
24,1.41087509178962,1.4106108160729,1.41136482370386,1.41130269336721,1.41067144695515,1.41136315914886,1.41053057591374,1.41396961392747,1.4140627719406,1.41146985846155,1.41195077504575,1.41250204568473,1.41104019620397,1.41204953271234,1.41379931663223,1.41289353389566
25,1.38557427006534,1.38655230934827,1.38539206819788,1.38601472661911,1.38736219387251,1.38727679254598,1.38636292314438,1.38814249168742,1.38609193616135,1.38678347082675,1.38703419855421,1.38752567996661,1.38813580096427,1.38532464633285,1.38623393715231,1.38651370519704
26,1.36113781947863,1.3610355324895,1.36247053247673,1.35960377249638,1.36151875114139,1.3625205293659,1.36165271758449,1.36151585697151,1.36341020520021,1.36253322757045,1.36229951837664,1.3620516687884,1.3607872126981,1.36064617043102,1.36135329864371,1.36301648411202
27,1.34325957489602,1.34417149073769,1.34218855803196,1.34291343939383,1.34251082559187,1.34320883772564,1.3414411908441,1.34271088681328,1.34206439052937,1.34182053843629,1.34145709569765,1.34299279607499,1.34344753737772,1.34328407178058,1.34257453834608,1.34157732982644
28,1.32557914771323,1.32475974086489,1.3242157814333,1.32514248560923,1.32362754841565,1.32411125595738,1.32389544224945,1.32540466471261,1.32542216346259,1.32594033602071,1.32593807883713,1.32602334435356,1.32393933691088,1.326218998942,1.32632091123193,1.32559936455054
29,1.30752999170038,1.30778673398366,1.30826147161102,1.30859796028997,1.30661806919688,1.30788723088895,1.3069878789539,1.30705741410472,1.30594405269404,1.30722074829351,1.30699459037559,1.30832811836576,1.30838745789616,1.30700869786151,1.30662580423755,1.30804700553255
30,1.29498024635498,1.29334475739188,1.29578873370514,1.29539628372431,1.29476376210176,1.29433651090346,1.29482229918915,1.29536699420296,1.29436150946855,1.29477499819659,1.29479164394338,1.29405353431271,1.29378107350704,1.29322756676184,1.29418885665598,1.29502368198457
31,1.28151330611939,1.28190186915112,1.28152385550666,1.2828416015109,1.28206414847651,1.28073597392265,1.28229095751423,1.28143771555631,1.28131596226774,1.28132790496411,1.28069010373247,1.28168150850625,1.28079251973723,1.28196139373611,1.28145528388119,1.28162032910346
32,1.26907279976584,1.26954952377056,1.26864538483152,1.26880750626812,1.26901976006652,1.26829118777341,1.26848727664486,1.2697478800648,1.26965206131694,1.26780185954964,1.26913610884104,1.26870760912174,1.26881282331666,1.26941018624402,1.26729249387856,1.26990704804698
33,1.25795365971478,1.25950380545614,1.25797377140216,1.25927722692942,1.257619184881,1.2587923966418,1.25913581546305,1.25764269831776,1.25898987807827,1.25893431972291,1.25879002485222,1.25788706136624,1.25860677963764,1.25788378362108,1.25714227716627,1.25843925298364
34,1.24688494666162,1.24865850127474,1.24810506789064,1.24668330084122,1.24768821538339,1.2469275630408,1.24637048870072,1.24799052985403,1.24656015163612,1.24805921102454,1.2480657533605,1.24873952003214,1.24648766402905,1.24721270020676,1.24739487190033,1.24641562048259
35,1.23660644445924,1.23748975683688,1.2363909693588,1.23689261528957,1.23730127987082,1.23842395381625,1.23745674143318,1.23935313137668,1.23793391870271,1.23647236976116,1.23735100182041,1.23828338576075,1.2378365811781,1.23747266686851,1.23694192165382,1.23729999325141
36,1.22834243711726,1.22949243851625,1.22871460647524,1.22975214656038,1.22855125247853,1.22953834978111,1.2291549662103,1.22969734422765,1.2293798071054,1.22764387727823,1.22810233178635,1.229468062119,1.22807927000182,1.22987579130515,1.23038612775649,1.22845186667918
37,1.21880020577948,1.22025364306642,1.22123198086614,1.21982170321467,1.22014069740928,1.21808414689455,1.22073411597805,1.21956858061321,1.22191511840361,1.22030400715061,1.22096938286404,1.22023218155675,1.22093607340474,1.21968736255063,1.21932050984073,1.21943258700501
38,1.20982194216908,1.21151501440378,1.21186651144191,1.21098965264864,1.20999213807815,1.21214308019027,1.21016258798042,1.2115639558348,1.21064588855896,1.21186421112565,1.21129933210016,1.21312191809313,1.21139030210676,1.21159447999169,1.21134797557113,1.21188972411966
39,1.20446464979054,1.20245040627938,1.20332444888637,1.20426394843483,1.20365008455689,1.20287895688867,1.2044242654411,1.20394565711689,1.20428894598664,1.20298462497146,1.2033261123963,1.20283016597929,1.20274493736286,1.20297000526972,1.20291486460999,1.20183358406322
40,1.19489861630771,1.19564606729259,1.19598764246296,1.1943360478443,1.19637165655714,1.19535523599983,1.19540335327917,1.19514263440639,1.19477530105849,1.19559452066274,1.19661290684121,1.19508409204394,1.19497762981084,1.19695612937559,1.1961489856527,1.19491897132529
41,1.18676431198929,1.18709676588949,1.18933439889393,1.18915407742112,1.18875388830261,1.18861223091877,1.1895729305954,1.1887821319798,1.18830364237568,1.18783669062859,1.18889679960157,1.18822108192189,1.18858159806423,1.18852227897673,1.18770500350398,1.18774237295185
42,1.18195548469748,1.18247285205083,1.18203843434267,1.18185809928643,1.18235839417696,1.18279552576042,1.18259132254611,1.1815182993077,1.18324570347847,1.18156941876258,1.18221063828248,1.18182121052156,1.18192157291332,1.18188748289708,1.18310981010012,1.1824321723968
43,1.17618018379709,1.17577176135421,1.17556803347032,1.17487865829407,1.17611286937699,1.17628879460527,1.1757300576643,1.17587798668805,1.17596813207026,1.17555670553698,1.17643714632644,1.1753988044535,1.17454556247432,1.17747984854598,1.17534896865114,1.17536428287121
44,1.17198409188232,1.17133655276633,1.17181240943378,1.17191961080833,1.17134982214624,1.17228522128027,1.17148528843394,1.17179341206189,1.17203015946028,1.17041200588027,1.17174895997491,1.1723849801997,1.17126104268627,1.17124848421111,1.17154160325972,1.17160383340455
45,1.16695497758753,1.16780915222546,1.1670966193379,1.16679542421972,1.16770657215049,1.16702653012721,1.16664385022122,1.16779751851507,1.16753220793672,1.16730863067245,1.16685920256955,1.16861695741652,1.16747860693594,1.16683380898926,1.16691899811011,1.16731457937981
46,1.16289071110497,1.16324711488535,1.16223240292025,1.16254565525618,1.16255355226005,1.16319864419449,1.16352337178974,1.16222864247247,1.16330276445912,1.16300746867927,1.16190699888329,1.16344851620596,1.1625191720644,1.16273683814132,1.16273618676758,1.16288371451004
47,1.15893765309571,1.15735158522948,1.15910171315265,1.15865612360045,1.15824148348165,1.15939452032692,1.15905436882737,1.15935712506144,1.15917379180751,1.15780168541409,1.15825600359906,1.15862051817623,1.15775603036753,1.15889044133576,1.15978626481116,1.1585133811989
48,1.15418293711948,1.15229901956593,1.15473445791222,1.15449711873325,1.15442492108287,1.1543624536845,1.15586127253602,1.15581775345492,1.15461479743364,1.15537644494247,1.15454988088938,1.15531234836915,1.1543904998574,1.15401280919849,1.15414972916798,1.15555686052402
49,1.15065242023012,1.14795895425934,1.14887481027948,1.15122296379503,1.15130117438162,1.15147165633992,1.15207996264548,1.14957092352681,1.15155090942196,1.15083993607489,1.15110525005799,1.15148803950958,1.14997642676943,1.15128965455886,1.1505834930738,1.15102506843618
50,1.14798672117415,1.1423064167636,1.14393181838403,1.14529682018038,1.14778109771205,1.14767304477781,1.14760394434347,1.14681275820169,1.1476573056472,1.14764803441082,1.14709516088367,1.14745888120447,1.14875278812124,1.14708567903234,1.14733570621371,1.14773557305396
51,1.14334550121347,1.13042243031216,1.13860840057101,1.14041025533822,1.14147231177877,1.14305559742592,1.14308682706968,1.14255242763654,1.14287088540868,1.14393773913908,1.14372570803835,1.14258277505334,1.14374052238623,1.14304284667088,1.14317768413771,1.14322826735334
52,1.13983711254216,1.11973691329716,1.12647203105053,1.13525112284527,1.13613814575765,1.13728273813687,1.14054483269522,1.13913362973846,1.13930707022987,1.13968568525185,1.13991835959308,1.13990949500274,1.14007201631324,1.13928517280945,1.13971614098159,1.1400569788831
53,1.1372875431415,1.11097967859464,1.11674952721625,1.12317030538695,1.13253311421282,1.13386140964092,1.13611586622001,1.13710085426952,1.13665901321701,1.13609021973077,1.13710016474871,1.13800826834283,1.13642607740574,1.13705346357631,1.13739553460697,1.13636032148572
54,1.13412062862109,1.10243829495047,1.10801014128037,1.11553034511759,1.12118679397794,1.13005780702029,1.13096161767319,1.13316919824111,1.1349745462901,1.13436150803232,1.13406925783335,1.13460098656856,1.13384045622403,1.13374044766735,1.13336119332992,1.13421482433278
