"mytestdate","proj","var","coef","modelname"
2022-05-29,0,"(Intercept)",0.508902760565647,"lasso"
2022-05-29,0,"scaled_case_lag1",0.782713487167447,"lasso"
2022-05-29,0,"scaled_case_lag2",0.134722126984459,"lasso"
2022-05-29,0,"ct_sm_7_lag6",-0.044513822701897,"lasso"
2022-05-29,0,"temperature_lag4",-0.0252816725555528,"lasso"
2022-05-29,0,"temperature_lag6",-0.021552240000813,"lasso"
2022-05-29,1,"(Intercept)",0.631461868078895,"lasso"
2022-05-29,1,"scaled_case_lag1",0.763682214789827,"lasso"
2022-05-29,1,"scaled_case_lag2",0.135804063212078,"lasso"
2022-05-29,1,"ct_sm_7_lag7",-0.0825800476081078,"lasso"
2022-05-29,1,"temperature_lag3",-0.0245815874900575,"lasso"
2022-05-29,1,"temperature_lag5",-0.0252632991803983,"lasso"
2022-05-29,2,"(Intercept)",0.716378464058895,"lasso"
2022-05-29,2,"scaled_case_lag1",0.813444062996359,"lasso"
2022-05-29,2,"scaled_case_lag2",0.0738318889381927,"lasso"
2022-05-29,2,"ct_sm_7_lag6",-0.0201221447736904,"lasso"
2022-05-29,2,"ct_sm_7_lag7",-0.0360886757627438,"lasso"
2022-05-29,3,"(Intercept)",0.599285909989749,"lasso"
2022-05-29,3,"scaled_case_lag1",0.774444257834101,"lasso"
2022-05-29,3,"scaled_case_lag2",0.129089882056086,"lasso"
2022-05-29,3,"ct_sm_7_lag5",-0.0513623339453369,"lasso"
2022-05-29,3,"ct_sm_7_lag6",-0.0208009105796374,"lasso"
2022-05-29,3,"temperature_lag1",-0.0323686307463502,"lasso"
2022-05-29,3,"temperature_lag3",-0.01783964373085,"lasso"
2022-05-29,4,"(Intercept)",0.705017522576616,"lasso"
2022-05-29,4,"scaled_case_lag1",0.808379199698399,"lasso"
2022-05-29,4,"scaled_case_lag2",0.0792201181354787,"lasso"
2022-05-29,4,"ct_sm_7_lag5",-0.0162703130683668,"lasso"
2022-05-29,4,"ct_sm_7_lag7",-0.0361465649280659,"lasso"
2022-05-29,5,"(Intercept)",0.166578771106499,"lasso"
2022-05-29,5,"scaled_case_lag1",0.801316910084639,"lasso"
2022-05-29,5,"scaled_case_lag2",0.160754649489652,"lasso"
2022-05-29,5,"scaled_case_lag4",0.000198444820869192,"lasso"
2022-05-29,6,"(Intercept)",0.321129374290616,"lasso"
2022-05-29,6,"scaled_case_lag1",0.771073257166358,"lasso"
2022-05-29,6,"scaled_case_lag2",0.168286769019321,"lasso"
2022-05-29,6,"scaled_case_lag4",2.91711569255331e-05,"lasso"
2022-05-29,7,"(Intercept)",0.161097130306773,"lasso"
2022-05-29,7,"scaled_case_lag1",0.772489813391247,"lasso"
2022-05-29,7,"scaled_case_lag2",0.14641131972699,"lasso"
2022-05-29,7,"scaled_case_lag4",0.042268206783184,"lasso"
2022-05-29,8,"(Intercept)",0.31624305710446,"lasso"
2022-05-29,8,"scaled_case_lag1",0.742801275422195,"lasso"
2022-05-29,8,"scaled_case_lag2",0.131615668124756,"lasso"
2022-05-29,8,"scaled_case_lag4",0.0628515778233669,"lasso"
2022-05-29,9,"(Intercept)",0.34085246833177,"lasso"
2022-05-29,9,"scaled_case_lag1",0.724085301230249,"lasso"
2022-05-29,9,"scaled_case_lag2",0.124289812945672,"lasso"
2022-05-29,9,"scaled_case_lag4",0.00207725326405283,"lasso"
2022-05-29,9,"scaled_case_lag5",0.080199999993901,"lasso"
2022-05-29,10,"(Intercept)",0.350896762452483,"lasso"
2022-05-29,10,"scaled_case_lag1",0.650580364992947,"lasso"
2022-05-29,10,"scaled_case_lag2",0.17223539769637,"lasso"
2022-05-29,10,"scaled_case_lag4",0.015090169347948,"lasso"
2022-05-29,10,"scaled_case_lag5",0.0759922078987928,"lasso"
2022-05-29,10,"scaled_case_lag6",0.0126202107804713,"lasso"
2022-05-29,11,"(Intercept)",0.36337771028284,"lasso"
2022-05-29,11,"scaled_case_lag1",0.63989101455029,"lasso"
2022-05-29,11,"scaled_case_lag2",0.15957054871822,"lasso"
2022-05-29,11,"scaled_case_lag3",0.00883239956214031,"lasso"
2022-05-29,11,"scaled_case_lag4",0.0323224742854658,"lasso"
2022-05-29,11,"scaled_case_lag5",0.0826522206354885,"lasso"
2022-05-29,11,"scaled_case_lag6",0.000271075057745867,"lasso"
2022-05-29,12,"(Intercept)",0.364268984930995,"lasso"
2022-05-29,12,"scaled_case_lag1",0.64197352754311,"lasso"
2022-05-29,12,"scaled_case_lag2",0.169771938612389,"lasso"
2022-05-29,12,"scaled_case_lag3",0.0133435935572545,"lasso"
2022-05-29,12,"scaled_case_lag4",0.0159005653973081,"lasso"
2022-05-29,12,"scaled_case_lag5",0.0823096587771488,"lasso"
2022-05-29,12,"scaled_case_lag6",0.00023973458867303,"lasso"
2022-05-29,13,"(Intercept)",0.323601405986439,"lasso"
2022-05-29,13,"scaled_case_lag1",0.638292004689988,"lasso"
2022-05-29,13,"scaled_case_lag2",0.179307507507115,"lasso"
2022-05-29,13,"scaled_case_lag3",0.0191884451055153,"lasso"
2022-05-29,13,"scaled_case_lag4",0.0188543991413077,"lasso"
