"mytestdate","var","coef","modelname","proj"
"19140","ct_sm_7_lag5","-0.244309709578073","svr","14"
"19141","(Intercept)","0.565740941828423","svr","0"
"19141","temperature_lag7","-0.0464733682664187","svr","0"
"19141","carbon_monoxide_lag5","-0.00510820825758281","svr","0"
"19141","StringencyIndex_WeightedAverage_lag1","0.0422383900026078","svr","0"
"19141","scaled_case_lag1","0.907944656239463","svr","0"
"19141","ct_sm_7_lag7","-0.129346743044388","svr","0"
"19141","(Intercept)","0.842489356956626","svr","1"
"19141","temperature_lag7","-0.06902057489539","svr","1"
"19141","carbon_monoxide_lag1","-0.00304443610283645","svr","1"
"19141","StringencyIndex_WeightedAverage_lag1","0.0701228442413657","svr","1"
"19141","scaled_case_lag1","0.866774873412674","svr","1"
"19141","ct_sm_7_lag7","-0.176663080230184","svr","1"
"19141","(Intercept)","0.840947235708833","svr","2"
"19141","temperature_lag6","-0.0672894677808586","svr","2"
"19141","carbon_monoxide_lag4","0.00613081347863426","svr","2"
"19141","StringencyIndex_WeightedAverage_lag1","0.0545790505097394","svr","2"
"19141","scaled_case_lag1","0.865229157484849","svr","2"
"19141","ct_sm_7_lag7","-0.191821204718242","svr","2"
"19141","(Intercept)","0.995373207232059","svr","3"
"19141","temperature_lag5","-0.0778330260291575","svr","3"
"19141","carbon_monoxide_lag3","0.00265705306251657","svr","3"
"19141","StringencyIndex_WeightedAverage_lag1","0.0347619517387812","svr","3"
"19141","scaled_case_lag1","0.84287933343967","svr","3"
"19141","ct_sm_7_lag7","-0.244210967583766","svr","3"
"19141","(Intercept)","0.772940257792004","svr","4"
"19141","temperature_lag4","-0.0687302118612597","svr","4"
"19141","carbon_monoxide_lag2","0.0045794936280833","svr","4"
"19141","StringencyIndex_WeightedAverage_lag1","0.0363415151049986","svr","4"
"19141","scaled_case_lag1","0.874143787495954","svr","4"
"19141","ct_sm_7_lag7","-0.175187229119666","svr","4"
"19141","(Intercept)","0.71523144105239","svr","5"
"19141","temperature_lag3","-0.0590109361639415","svr","5"
"19141","carbon_monoxide_lag1","0.00219990372445194","svr","5"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","0.0264171788728156","svr","5"
"19141","scaled_case_lag1","0.882295505981881","svr","5"
"19141","ct_sm_7_lag7","-0.169010427930828","svr","5"
"19141","(Intercept)","0.660770158478717","svr","6"
"19141","temperature_lag2","-0.0514593008340214","svr","6"
"19141","carbon_monoxide_lag1","-0.0172062703336245","svr","6"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","0.0147628619576778","svr","6"
"19141","scaled_case_lag1","0.890187890469395","svr","6"
"19141","ct_sm_7_lag6","-0.179243312327273","svr","6"
"19141","(Intercept)","0.523278189335651","svr","7"
"19141","temperature_lag7","-0.00570004114435052","svr","7"
"19141","carbon_monoxide_lag1","-0.000563334844250979","svr","7"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","0.0136642052247709","svr","7"
"19141","scaled_case_lag1","0.909260629832875","svr","7"
"19141","ct_sm_7_lag5","-0.153992559713132","svr","7"
"19141","(Intercept)","0.57410173764936","svr","8"
"19141","temperature_lag7","-0.0184924816459767","svr","8"
"19141","carbon_monoxide_lag1","0.00320704984535738","svr","8"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","0.0145759506078151","svr","8"
"19141","scaled_case_lag1","0.90146721763288","svr","8"
"19141","ct_sm_7_lag4","-0.156897030075788","svr","8"
"19141","(Intercept)","0.617977842469889","svr","9"
"19141","temperature_lag7","-0.0305711249468139","svr","9"
"19141","carbon_monoxide_lag7","-0.0162216270273821","svr","9"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","0.0278077914068648","svr","9"
"19141","scaled_case_lag1","0.895115390505381","svr","9"
"19141","ct_sm_7_lag3","-0.161508001585306","svr","9"
"19141","(Intercept)","0.649568946769803","svr","10"
"19141","temperature_lag6","-0.031465569703034","svr","10"
"19141","carbon_monoxide_lag6","-0.0217474987774939","svr","10"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","0.0353245669993258","svr","10"
"19141","scaled_case_lag1","0.889613028426733","svr","10"
"19141","ct_sm_7_lag2","-0.166908151773198","svr","10"
"19141","(Intercept)","0.885655233886227","svr","11"
"19141","temperature_lag5","-0.0471976000848304","svr","11"
"19141","carbon_monoxide_lag5","-0.0247391182220731","svr","11"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","-0.013190781164317","svr","11"
"19141","scaled_case_lag1","0.847806497388221","svr","11"
"19141","ct_sm_7_lag7","-0.256846295681185","svr","11"
"19141","(Intercept)","0.957682708908809","svr","12"
"19141","temperature_lag4","-0.0673651979066241","svr","12"
"19141","carbon_monoxide_lag4","-0.0382783297860855","svr","12"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","-0.0148212797787882","svr","12"
"19141","scaled_case_lag1","0.836201065116057","svr","12"
"19141","ct_sm_7_lag7","-0.280669024071555","svr","12"
"19141","(Intercept)","1.1802870515179","svr","13"
"19141","temperature_lag3","-0.0701928364990363","svr","13"
"19141","carbon_monoxide_lag3","-0.045098883363291","svr","13"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","-0.0410491200922962","svr","13"
"19141","scaled_case_lag1","0.799159882141326","svr","13"
"19141","ct_sm_7_lag7","-0.359344471729159","svr","13"
"19141","(Intercept)","1.07648050892661","svr","14"
"19141","temperature_lag2","-0.067898189278711","svr","14"
"19141","carbon_monoxide_lag2","-0.0439110428177871","svr","14"
"19141","GovernmentResponseIndex_WeightedAverage_lag1","-0.0264672532297778","svr","14"
"19141","scaled_case_lag1","0.815619866703199","svr","14"
"19141","ct_sm_7_lag6","-0.321260072364501","svr","14"
"19142","(Intercept)","0.803269528516853","svr","0"
"19142","temperature_lag7","-0.0706644351351156","svr","0"
"19142","carbon_monoxide_lag1","0.0255192393566954","svr","0"
"19142","StringencyIndex_WeightedAverage_lag1","0.0474929269250577","svr","0"
"19142","scaled_case_lag1","0.874220677215182","svr","0"
"19142","ct_sm_7_lag7","-0.164079348453613","svr","0"
"19142","(Intercept)","1.04584658134098","svr","1"
"19142","temperature_lag7","-0.071207764892531","svr","1"
"19142","carbon_monoxide_lag1","0.00297871807820671","svr","1"
"19142","StringencyIndex_WeightedAverage_lag1","0.0711050141871706","svr","1"
"19142","scaled_case_lag1","0.838020003066965","svr","1"
"19142","ct_sm_7_lag7","-0.223789945307533","svr","1"
"19142","(Intercept)","0.981163746722286","svr","2"
"19142","temperature_lag7","-0.0584804836559504","svr","2"
