"mytestdate","var","coef","CI_lwr","CI_upr","modelname","proj"
"19140","(Intercept)","0.723396823716145","-0.0614746240768543","1.50826827150914","lm","0"
"19140","temperature_lag7","-0.082453793256255","-0.159646349005963","-0.00526123750654689","lm","0"
"19140","carbon_monoxide_lag4","0.020334539747199","-0.0381511957230027","0.0788202752174006","lm","0"
"19140","StringencyIndex_WeightedAverage_lag1","0.0392887449496925","-0.0564062645587746","0.13498375445816","lm","0"
"19140","scaled_case_lag1","0.887090679968215","0.774970336059465","0.999211023876964","lm","0"
"19140","ct_sm_7_lag7","-0.167348104823529","-0.361273530907464","0.0265773212604065","lm","0"
"19140","(Intercept)","0.915575191363514","0.102103219033792","1.72904716369324","lm","1"
"19140","temperature_lag7","-0.0772552961056519","-0.155946753022505","0.00143616081120146","lm","1"
"19140","carbon_monoxide_lag3","0.0125863795641111","-0.0463164364129043","0.0714891955411265","lm","1"
"19140","StringencyIndex_WeightedAverage_lag1","0.0413580389187664","-0.0515680272555063","0.134284105093039","lm","1"
"19140","scaled_case_lag1","0.85891122350532","0.741962378102534","0.975860068908106","lm","1"
"19140","ct_sm_7_lag7","-0.234885526258817","-0.445670535808393","-0.0241005167092416","lm","1"
"19140","(Intercept)","0.75035413065205","-0.117363148534827","1.61807140983893","lm","2"
"19140","temperature_lag7","-0.0526614788324608","-0.134482905050057","0.0291599473851353","lm","2"
"19140","carbon_monoxide_lag2","0.0154285364588769","-0.0443707667968586","0.0752278397146123","lm","2"
"19140","StringencyIndex_WeightedAverage_lag1","0.0230289376802669","-0.0698737112772244","0.115931586637758","lm","2"
"19140","scaled_case_lag1","0.881569300404677","0.756009482235325","1.00712911857403","lm","2"
"19140","ct_sm_7_lag7","-0.210805813886143","-0.440840500700827","0.019228872928541","lm","2"
"19140","(Intercept)","0.678452247578912","-0.224249160948839","1.58115365610666","lm","3"
"19140","temperature_lag7","-0.0456463770967191","-0.13047110583252","0.0391783516390814","lm","3"
"19140","carbon_monoxide_lag1","0.0176407934832212","-0.0435925739634252","0.0788741609298676","lm","3"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","0.00656440206818798","-0.0952911173414708","0.108419921477847","lm","3"
"19140","scaled_case_lag1","0.891232296301089","0.759521420396004","1.02294317220617","lm","3"
"19140","ct_sm_7_lag7","-0.204104968976327","-0.449810568994297","0.0416006310416438","lm","3"
"19140","(Intercept)","0.613049912245114","-0.306326746179531","1.53242657066976","lm","4"
"19140","temperature_lag7","-0.0174230309401669","-0.104323799147806","0.0694777372674718","lm","4"
"19140","carbon_monoxide_lag1","0.0100380151727415","-0.0517998856606648","0.0718759160061478","lm","4"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","-0.00143596658982686","-0.102475026119453","0.0996030929397995","lm","4"
"19140","scaled_case_lag1","0.90012139196001","0.765190902129856","1.03505188179017","lm","4"
"19140","ct_sm_7_lag7","-0.210184717984047","-0.467221395787094","0.0468519598190008","lm","4"
"19140","(Intercept)","0.0180463833278935","-0.734467030931028","0.770559797586815","lm","5"
"19140","temperature_lag7","0.0178253563109044","-0.0527833387308828","0.0884340513526915","lm","5"
"19140","carbon_monoxide_lag1","0.0108293716413537","-0.0383016488407442","0.0599603921234517","lm","5"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","0.0109292262435978","-0.0685705894524481","0.0904290419396437","lm","5"
