"mytestdate","var","coef","CI_lwr","CI_upr","modelname","proj"
"19140","ma1","-0.215685955446407","-0.412568940741358","-0.0188029701514569","arima","0"
"19140","temperature_lag7","-0.0685368111766224","-0.127000772278343","-0.0100728500749018","arima","0"
"19140","carbon_monoxide_lag4","0.00304743599535621","-0.0431440312762081","0.0492389032669206","arima","0"
"19140","StringencyIndex_WeightedAverage_lag1","-0.0155349773984145","-0.073221817845391","0.042151863048562","arima","0"
"19140","scaled_case_lag1","0.990459032693431","0.984731456757768","0.996186608629094","arima","0"
"19140","ct_sm_7_lag7","-0.00866480886156362","-0.0825035556679844","0.0651739379448571","arima","0"
"19140","intercept","0.915575191363517","0.139315315629845","1.69183506709719","arima","1"
"19140","temperature_lag7","-0.077255296105652","-0.1523472991671","-0.00216329304420382","arima","1"
"19140","carbon_monoxide_lag3","0.0125863795641114","-0.0436223016532832","0.0687950607815059","arima","1"
"19140","StringencyIndex_WeightedAverage_lag1","0.0413580389187672","-0.0473173721934126","0.130033450030947","arima","1"
"19140","scaled_case_lag1","0.85891122350532","0.747311998022452","0.970510448988188","arima","1"
"19140","ct_sm_7_lag7","-0.234885526258817","-0.436028316633334","-0.0337427358842994","arima","1"
"19140","intercept","0.750354130651572","-0.0772334293859595","1.5779416906891","arima","2"
"19140","temperature_lag7","-0.0526614788324563","-0.130699134312998","0.0253761766480852","arima","2"
"19140","carbon_monoxide_lag2","0.0154285364588769","-0.0416055613817736","0.0724626342995274","arima","2"
"19140","StringencyIndex_WeightedAverage_lag1","0.0230289376802525","-0.0655774302596529","0.111635305620158","arima","2"
"19140","scaled_case_lag1","0.881569300404745","0.761816135905538","1.00132246490395","arima","2"
"19140","ct_sm_7_lag7","-0.210805813886043","-0.430202068531592","0.00859044075950524","arima","2"
"19140","intercept","0.678452247578902","-0.182037660056401","1.5389421552142","arima","3"
"19140","temperature_lag7","-0.0456463770967524","-0.126504846292958","0.0352120920994531","arima","3"
"19140","carbon_monoxide_lag1","0.0176407934832212","-0.0407295775017519","0.0760111644681943","arima","3"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","0.00656440206817645","-0.0905284320845888","0.103657236220942","arima","3"
"19140","scaled_case_lag1","0.891232296301089","0.765680230822077","1.0167843617801","arima","3"
"19140","ct_sm_7_lag7","-0.204104968976304","-0.43832113567675","0.0301111977241412","arima","3"
"19140","ar1","-0.306417206901274","-0.560128546416526","-0.0527058673860218","arima","4"
"19140","temperature_lag7","0.00490756477725006","-0.0530868066417657","0.0629019361962658","arima","4"
"19140","carbon_monoxide_lag1","0.00462332932000044","-0.0417135256790765","0.0509601843190773","arima","4"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","-0.0152969853200302","-0.0861909548732337","0.0555969842331733","arima","4"
"19140","scaled_case_lag1","0.989813847309585","0.98378052272967","0.995847171889501","arima","4"
"19140","ct_sm_7_lag7","-0.0418836089024053","-0.118656382793851","0.0348891649890402","arima","4"
"19140","ma1","-0.571405644859277","-0.854371043199277","-0.288440246519278","arima","5"
"19140","intercept","-0.862820636827138","-1.35724941983742","-0.368391853816857","arima","5"
"19140","temperature_lag7","0.0515805528487163","0.0116887429188143","0.0914723627786183","arima","5"
"19140","carbon_monoxide_lag1","-0.00987787410029803","-0.0374994022964326","0.0177436540958365","arima","5"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","-0.0129783878133118","-0.046393489790736","0.0204367141641125","arima","5"
"19140","scaled_case_lag1","1.11463485545921","1.04211621584099","1.18715349507743","arima","5"
"19140","ct_sm_7_lag6","0.201421953950304","0.0728957059646124","0.329948201935995","arima","5"
"19140","ma1","-0.602456249119501","-0.903818891593607","-0.301093606645395","arima","6"
"19140","intercept","-0.922031462174041","-1.367577303271","-0.476485621077083","arima","6"
"19140","temperature_lag7","0.0525617213904966","0.0152815020701525","0.0898419407108407","arima","6"
"19140","carbon_monoxide_lag1","-0.02382833450018","-0.0494478295599988","0.00179116055963886","arima","6"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","-0.015245340939406","-0.0459383128890542","0.0154476310102423","arima","6"
"19140","scaled_case_lag1","1.12368839446539","1.05828863018322","1.18908815874756","arima","6"
"19140","ct_sm_7_lag5","0.211288816179304","0.0942930804844989","0.328284551874108","arima","6"
"19140","ar1","-0.56521047631752","-0.773032620079033","-0.357388332556007","arima","7"
"19140","ar2","-0.512712559930291","-0.754934440542901","-0.270490679317681","arima","7"
"19140","ar3","-0.471572755465409","-0.73738448661365","-0.205761024317168","arima","7"
"19140","ar4","-0.440179778508733","-0.694750692877077","-0.18560886414039","arima","7"
"19140","ar5","-0.264873201719815","-0.511175848910258","-0.0185705545293718","arima","7"
"19140","intercept","-0.93463699687255","-1.24998497376119","-0.619289019983911","arima","7"
"19140","temperature_lag6","0.0535908279348656","0.0264391713505173","0.0807424845192139","arima","7"
"19140","carbon_monoxide_lag1","-0.0287283835299016","-0.0477684764453305","-0.0096882906144726","arima","7"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","-0.0139749402082284","-0.0361885711462375","0.0082386907297808","arima","7"
"19140","scaled_case_lag1","1.12533303626946","1.07901715755091","1.17164891498801","arima","7"
"19140","ct_sm_7_lag4","0.216737134472653","0.135135828414212","0.298338440531095","arima","7"
"19140","ma1","-0.701813456968274","-0.967491240010443","-0.436135673926105","arima","8"
"19140","intercept","-0.713636241313996","-1.04181747079529","-0.385455011832707","arima","8"
"19140","temperature_lag5","0.0440382794439301","0.0134783803567088","0.0745981785311514","arima","8"
"19140","carbon_monoxide_lag7","-0.0165638282602281","-0.0394674668679225","0.00633981034746633","arima","8"
"19140","GovernmentResponseIndex_WeightedAverage_lag1","-0.0030786867881205","-0.0278642973054159","0.0217069237291749","arima","8"
"19140","scaled_case_lag1","1.09242756084042","1.04410649097034","1.1407486307105","arima","8"
"19140","ct_sm_7_lag3","0.168896950799617","0.0815326314952727","0.25626127010396","arima","8"
"19140","ma1","-0.599081583379434","-0.865973505987351","-0.332189660771517","arima","9"
"19140","intercept","-0.577522560436265","-0.970643330070213","-0.184401790802317","arima","9"
"19140","temperature_lag4","0.0420581485312555","0.00782209413984526","0.0762942029226658","arima","9"
