var,coef,proj,modelname
temperature_lag7,0.09174237,2,gru
carbon_monoxide_lag2,0.048533134,2,gru
StringencyIndex_WeightedAverage_lag1,0.20669465,2,gru
scaled_case_lag1,2.4008563,2,gru
temperature_lag6,0.092096716,3,gru
carbon_monoxide_lag1,0.04731568,3,gru
StringencyIndex_WeightedAverage_lag1,0.2189046,3,gru
scaled_case_lag1,2.4270465,3,gru
temperature_lag5,0.09029335,4,gru
carbon_monoxide_lag2,0.051554684,4,gru
StringencyIndex_WeightedAverage_lag1,0.20353447,4,gru
scaled_case_lag1,2.4105961,4,gru
temperature_lag4,0.08794835,5,gru
carbon_monoxide_lag1,0.04750379,5,gru
StringencyIndex_WeightedAverage_lag1,0.1886409,5,gru
scaled_case_lag1,2.3840504,5,gru
temperature_lag3,0.084980264,6,gru
carbon_monoxide_lag1,0.051649585,6,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.18591793,6,gru
scaled_case_lag1,2.3529348,6,gru
temperature_lag2,0.079073004,7,gru
carbon_monoxide_lag1,0.063211404,7,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17881124,7,gru
scaled_case_lag1,2.3153954,7,gru
temperature_lag7,0.06748917,8,gru
carbon_monoxide_lag1,0.06549797,8,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.16833887,8,gru
scaled_case_lag1,2.3017917,8,gru
temperature_lag7,0.0654306,9,gru
carbon_monoxide_lag2,0.0651687,9,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.16480707,9,gru
scaled_case_lag1,2.2685096,9,gru
temperature_lag6,0.0787865,10,gru
carbon_monoxide_lag7,0.08285366,10,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13921644,10,gru
scaled_case_lag1,2.2027707,10,gru
temperature_lag5,0.09508021,11,gru
carbon_monoxide_lag6,0.097664446,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13269879,11,gru
scaled_case_lag1,2.1515326,11,gru
temperature_lag4,0.11272222,12,gru
carbon_monoxide_lag5,0.10617909,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.12173084,12,gru
scaled_case_lag1,2.0941827,12,gru
temperature_lag3,0.13045985,13,gru
carbon_monoxide_lag4,0.11200508,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.12107233,13,gru
scaled_case_lag1,2.0519087,13,gru
temperature_lag2,0.14004393,14,gru
carbon_monoxide_lag3,0.112627685,14,gru
